City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Manzhouli,CN,49.6,117.43,266.16,93,0,2.67,1605397354
Maragogi,BR,-9.01,-35.22,298.63,83,2,5.07,1605397323
Ponta do Sol,PT,32.67,-17.1,295.15,88,75,3.1,1605397355
Albany,US,42.6,-73.97,279.26,63,12,3.88,1605397355
Saint Paul Harbor,US,57.79,-152.41,276.15,51,20,3.6,1605397355
Lillehammer,NO,61.11,10.47,277.04,90,100,2.25,1605397355
Havelock,US,34.88,-76.9,288.15,82,1,1.5,1605397209
Kunszentmiklós,HU,47.03,19.13,281.15,87,90,2.1,1605397356
Hobart,AU,-42.88,147.33,290.37,51,75,5.1,1605397172
Cape Town,ZA,-33.93,18.42,288.15,82,20,4.6,1605396643
Rikitea,PF,-23.12,-134.97,297.62,83,86,6.88,1605397356
Port Lincoln,AU,-34.73,135.87,298.43,38,27,2.58,1605397087
Port Macquarie,AU,-31.43,152.92,302.04,45,0,0.89,1605397356
Jamestown,US,42.1,-79.24,277.59,60,1,1.5,1605397356
Qaqortoq,GL,60.72,-46.03,265.15,67,0,6.7,1605397357
Hermanus,ZA,-34.42,19.23,286.48,87,88,1.82,1605397357
Along,IN,28.17,94.77,284.79,54,0,0.74,1605397357
Punta Arenas,CL,-53.15,-70.92,281.15,65,75,13.9,1605397357
Longyearbyen,SJ,78.22,15.64,277.15,80,40,9.8,1605397357
Gamba,GA,-2.65,10.0,298.24,92,100,2.46,1605397357
Kutum,SD,14.2,24.67,289.61,30,0,7.12,1605397357
Mataura,NZ,-46.19,168.86,292.44,59,100,1.1,1605397358
Aksu,CN,41.12,80.26,274.59,68,74,1.83,1605397358
Singuilucan,MX,19.97,-98.52,287.44,68,0,2.8,1605397358
Alofi,NU,-19.06,-169.92,301.15,69,46,5.7,1605397358
Makakilo City,US,21.35,-158.09,302.15,58,75,4.1,1605397087
Atuona,PF,-9.8,-139.03,298.57,75,33,6.41,1605397358
Lebu,CL,-37.62,-73.65,284.55,73,0,8.4,1605397231
Aykhal,RU,66.0,111.5,254.15,91,90,3.0,1605397359
Koumac,NC,-20.57,164.28,300.52,69,8,3.0,1605397359
Busselton,AU,-33.65,115.33,289.82,98,16,6.13,1605397359
Tamandaré,BR,-8.76,-35.1,298.75,83,19,4.93,1605397359
Florø,NO,61.6,5.03,283.15,66,99,8.7,1605397359
Springdale,US,36.19,-94.13,293.15,94,40,9.3,1605397359
Santa Vitória,BR,-18.84,-50.12,296.17,85,100,1.68,1605397360
Nikolskoye,RU,59.7,30.79,273.71,92,75,3.0,1605397360
Bengkulu,ID,-3.8,102.27,298.75,82,89,1.71,1605397360
Thompson,CA,55.74,-97.86,265.15,85,90,3.6,1605397079
Klamath Falls,US,42.22,-121.78,277.59,69,90,3.1,1605397360
Chui,UY,-33.7,-53.46,292.82,88,99,3.6,1605397360
Norman Wells,CA,65.28,-126.83,252.15,83,75,1.5,1605397360
Avarua,CK,-21.21,-159.78,300.15,74,46,6.2,1605397361
Port Alfred,ZA,-33.59,26.89,290.53,85,77,3.6,1605397361
The Pas,CA,53.83,-101.25,268.15,92,90,6.7,1605397361
Fare,PF,-16.7,-151.02,300.26,71,98,3.18,1605397361
Vaini,TO,-21.2,-175.2,301.15,78,40,4.1,1605397361
Margate,GB,51.38,1.39,287.04,84,89,2.24,1605397362
Tegul'det,RU,57.31,88.17,265.39,97,90,1.35,1605397362
Morondava,MG,-20.28,44.28,296.86,61,5,1.2,1605397362
Sol'-Iletsk,RU,51.16,54.99,264.27,93,0,4.27,1605397362
Sørland,NO,67.67,12.69,281.45,76,41,15.77,1605397362
Lensk,RU,60.73,114.93,260.85,92,100,4.78,1605397362
Cabo San Lucas,MX,22.89,-109.91,298.15,50,75,4.1,1605397149
Severo-Kuril'sk,RU,50.68,156.12,277.39,91,78,7.82,1605397363
Hithadhoo,MV,-0.6,73.08,301.47,77,100,9.48,1605397363
Ushuaia,AR,-54.8,-68.3,279.15,79,75,4.19,1605397146
Saskylakh,RU,71.92,114.08,257.22,92,89,6.7,1605397363
Dingle,PH,11.0,122.67,300.61,85,37,4.54,1605397363
New Norfolk,AU,-42.78,147.06,290.37,41,48,1.6,1605397363
Mahébourg,MU,-20.41,57.7,296.15,88,75,4.6,1605397364
Sitka,US,57.05,-135.33,277.15,80,90,4.6,1605397364
Bluff,NZ,-46.6,168.33,287.8,89,100,1.13,1605397364
Butaritari,KI,3.07,172.79,300.89,67,98,2.23,1605397364
Harper,LR,4.38,-7.72,298.7,87,14,3.89,1605397365
Port Hardy,CA,50.7,-127.42,280.15,81,90,11.8,1605397365
Hetauda,NP,27.43,85.03,283.15,100,20,1.82,1605397324
São José da Coroa Grande,BR,-8.9,-35.15,298.79,83,9,5.15,1605397365
Port Elizabeth,ZA,-33.92,25.57,290.15,82,0,5.7,1605397365
Qaanaaq,GL,77.48,-69.36,259.55,80,93,6.09,1605397365
Ivybridge,GB,50.39,-3.92,286.48,94,44,4.02,1605397366
Khovd,MN,48.01,91.64,270.74,86,99,0.52,1605397366
Muscatine,US,41.47,-91.13,285.15,87,90,7.2,1605397366
Pangkalanbuun,ID,-2.68,111.62,299.46,87,89,0.75,1605397366
Yellowknife,CA,62.46,-114.35,259.15,77,90,2.6,1605397366
Camocim,BR,-2.9,-40.84,301.04,72,62,7.79,1605397367
Adrar,MR,20.5,-10.07,298.61,17,100,4.64,1605397367
Garh Maharaja,PK,30.83,71.91,289.66,46,73,5.48,1605397367
Zeya,RU,53.75,127.27,264.03,86,0,3.15,1605397367
Bredasdorp,ZA,-34.53,20.04,288.15,77,99,1.5,1605397367
Ribeira Grande,PT,38.52,-28.7,291.68,88,98,7.61,1605397367
Tuktoyaktuk,CA,69.45,-133.04,263.15,85,90,12.3,1605397368
Mayo,US,38.89,-76.51,284.15,71,1,1.5,1605397368
Bethel,US,41.37,-73.41,279.15,52,1,1.5,1605397140
Marfino,RU,55.7,37.38,273.71,94,90,2.0,1605397368
La Roche-sur-Yon,FR,46.67,-1.43,288.15,87,75,4.6,1605397368
Pasco,US,28.29,-82.42,298.71,85,43,3.84,1605397366
Nortelândia,BR,-14.45,-56.8,299.04,70,76,1.2,1605397369
Ugoofaaru,MV,5.67,73.0,301.45,77,100,3.66,1605397369
Buala,SB,-8.14,159.59,303.55,67,44,3.55,1605397369
Hilo,US,19.73,-155.09,299.15,65,1,3.1,1605397369
Mozarlândia,BR,-14.74,-50.57,299.75,62,49,2.47,1605397369
Beringovskiy,RU,63.05,179.32,264.33,86,0,1.57,1605397370
Collie,AU,-33.37,116.15,289.82,98,6,4.62,1605397370
Dikson,RU,73.51,80.55,269.5,98,95,3.7,1605397370
Okhotsk,RU,59.38,143.3,261.99,90,100,8.07,1605397370
Saint-Philippe,RE,-21.36,55.77,295.15,73,90,3.6,1605397370
Puerto del Rosario,ES,28.5,-13.86,295.15,60,0,1.0,1605397370
Arraial do Cabo,BR,-22.97,-42.03,296.42,91,91,1.31,1605397370
Mar del Plata,AR,-38.0,-57.56,290.15,82,75,3.1,1605397371
Policoro,IT,40.21,16.67,284.82,98,100,1.24,1605397371
Umluj,SA,25.02,37.27,296.21,67,0,1.7,1605397371
Tuatapere,NZ,-46.13,167.68,292.36,62,100,3.04,1605397371
Jaicós,BR,-7.36,-41.14,303.15,33,64,1.81,1605397371
Hong Kong,HK,22.29,114.16,295.93,75,99,0.45,1605397371
Tiksi,RU,71.69,128.87,254.0,91,59,3.24,1605397371
Krasnosel'kup,RU,65.7,82.47,248.18,89,57,4.01,1605397372
Amberley,US,39.2,-84.43,285.37,54,75,3.33,1605397372
Oppdal,NO,62.59,9.69,273.52,91,74,6.16,1605397372
Jagüey Grande,CU,22.53,-81.13,299.15,94,20,4.1,1605397372
Karatau,KZ,43.17,70.47,272.68,85,8,6.38,1605397372
Pochutla,MX,15.74,-96.47,302.15,70,20,2.24,1605397372
Lodwar,KE,3.12,35.6,301.16,52,3,6.02,1605397372
Tilichiki,RU,60.47,166.1,266.9,100,100,5.01,1605397373
Iasmos,GR,41.13,25.18,282.59,74,2,2.0,1605397373
Iqaluit,CA,63.75,-68.51,266.15,67,75,3.1,1605397373
Kaitangata,NZ,-46.28,169.85,292.04,64,100,2.62,1605397373
Broome,US,42.25,-75.83,275.15,59,1,2.6,1605397373
Saint-Pierre,RE,-21.34,55.48,295.15,73,90,3.6,1605397373
Souillac,MU,-20.52,57.52,296.15,88,75,4.6,1605397374
Sambava,MG,-14.27,50.17,296.64,87,86,1.8,1605397374
Cayenne,GF,4.93,-52.33,297.15,100,90,2.1,1605397374
Kapaa,US,22.08,-159.32,301.15,65,40,5.7,1605397374
Barrow,US,71.29,-156.79,267.15,79,90,7.7,1605397374
Marsala,IT,37.8,12.44,293.15,88,20,4.6,1605397122
Aklavik,CA,68.22,-135.01,257.15,77,75,1.5,1605397374
Ruwi,OM,23.6,58.55,300.15,78,75,1.5,1605397375
Coquimbo,CL,-29.95,-71.34,288.15,77,20,5.7,1605397308
Leh,IN,34.17,77.58,270.16,74,61,2.54,1605397251
Itaituba,BR,-4.28,-55.98,300.16,76,96,1.38,1605397265
Namatanai,PG,-3.67,152.43,303.08,65,5,3.97,1605397375
Aloleng,PH,16.13,119.78,300.76,77,92,5.27,1605397376
Clyde River,CA,70.47,-68.59,268.15,73,75,12.3,1605397376
Carnarvon,AU,-24.87,113.63,293.15,72,90,5.7,1605397376
West Wendover,US,40.74,-114.07,280.15,28,1,5.7,1605397376
Magaria,NE,13.0,8.91,297.51,25,95,5.2,1605397376
George Town,MY,5.41,100.34,299.15,94,20,1.5,1605397171
Fărcaşele,RO,44.15,24.43,275.15,93,20,0.6,1605397376
Kumul,CN,42.8,93.45,273.46,85,42,2.15,1605397377
Torbay,CA,47.67,-52.73,273.71,99,90,10.8,1605397377
Vondrozo,MG,-22.82,47.28,287.18,100,100,1.32,1605397377
Mahibadhoo,MV,3.78,72.97,300.31,82,100,4.97,1605397377
Saldanha,ZA,-33.01,17.94,285.15,81,0,1.5,1605397377
Øksfjord,NO,70.24,22.35,278.15,78,67,11.3,1605397377
Leningradskiy,RU,69.38,178.42,258.82,81,98,1.83,1605397378
Siavonga,ZM,-16.54,28.71,300.06,46,12,2.44,1605397378
Bedelē,ET,8.46,36.35,284.12,96,13,0.6,1605397378
Tekeli,KZ,44.83,78.82,269.43,92,100,0.53,1605397378
Sola,VU,-13.88,167.55,300.28,82,57,6.5,1605397378
San Patricio,US,28.02,-97.52,301.15,65,75,8.2,1605397378
Bambous Virieux,MU,-20.34,57.76,296.15,88,75,4.6,1605397379
Moose Factory,CA,51.26,-80.61,272.15,86,1,5.1,1605397379
Zhangye,CN,38.93,100.45,280.5,46,14,3.46,1605397379
Katsuura,JP,35.13,140.3,286.48,58,20,1.5,1605397379
Andrews,US,32.32,-102.55,298.15,16,1,7.2,1605397379
Cidreira,BR,-30.18,-50.21,295.16,84,0,6.98,1605397379
East London,ZA,-33.02,27.91,291.66,75,83,2.36,1605397380
Juba,SS,4.85,31.58,297.03,74,14,1.17,1605397306
Chokurdakh,RU,70.63,147.92,241.56,85,1,2.74,1605397380
Avera,US,33.19,-82.53,290.37,87,1,1.21,1605397380
Barcelos,PT,41.54,-8.62,290.15,93,90,5.1,1605397380
Yumen,CN,40.28,97.2,270.43,93,41,4.77,1605397381
Svetlaya,RU,46.54,138.33,278.23,60,75,2.69,1605397381
Airai,TL,-8.93,125.41,296.8,54,1,1.18,1605397381
Mormugao,IN,15.4,73.8,298.72,69,0,3.72,1605397381
Te Anau,NZ,-45.42,167.72,291.77,59,100,3.64,1605397381
Walvis Bay,NA,-22.96,14.51,288.15,82,0,2.6,1605397381
Eyl,SO,7.98,49.82,297.52,72,22,5.26,1605397382
Kavieng,PG,-2.57,150.8,302.92,70,21,6.79,1605397382
Saint-Augustin,CA,51.23,-58.65,272.77,88,100,4.3,1605397382
Takoradze,GH,4.88,-1.76,299.26,85,46,2.67,1605397382
Florianópolis,BR,-27.61,-48.5,297.15,83,40,1.5,1605397230
Broken Hill,AU,-31.95,141.43,306.15,10,8,11.8,1605397382
Gari,RU,59.43,62.35,260.81,92,0,2.14,1605397383
Hervey Bay,AU,-25.3,152.85,300.93,75,2,2.68,1605397383
Ushtobe,KZ,45.25,77.98,274.44,76,100,1.73,1605397383
Oudtshoorn,ZA,-33.59,22.2,287.15,100,97,2.6,1605397383
Erenhot,CN,43.65,111.98,275.95,73,28,1.79,1605397383
Capinzal,BR,-27.34,-51.61,294.31,61,7,1.15,1605397384
Blyth,GB,55.13,-1.51,284.26,76,43,6.7,1605397384
Touros,BR,-5.2,-35.46,299.15,83,20,3.1,1605397384
Puerto Ayora,EC,-0.74,-90.35,294.26,83,27,3.58,1605397384
Saint George,US,37.1,-113.58,290.15,13,1,2.6,1605397150
Flinders,AU,-34.58,150.86,294.82,76,0,3.86,1605397385
Livenka,RU,50.45,38.3,272.68,95,100,2.86,1605397385
Ostrovnoy,RU,68.05,39.51,274.63,88,81,7.75,1605397385
Lethem,GY,3.38,-59.8,299.76,79,63,0.21,1605397385
Shellbrook,CA,53.22,-106.4,267.15,79,90,8.2,1605397217
Shache,CN,38.42,77.24,270.51,81,55,1.06,1605397385
Itaqui,BR,-29.13,-56.55,293.1,91,100,11.95,1605397385
Ahipara,NZ,-35.17,173.17,293.39,45,87,1.62,1605397386
West Bay,KY,19.37,-81.42,300.93,88,75,2.6,1605397386
Upernavik,GL,72.79,-56.15,261.99,84,100,5.73,1605397386
Bilma,NE,18.69,12.92,293.27,26,7,5.5,1605397386
Chauk,MM,20.88,94.82,294.37,77,0,2.71,1605397386
Shelburne,CA,44.08,-80.2,274.26,67,2,3.58,1605397386
Santarém,BR,-2.44,-54.71,301.15,78,20,3.1,1605397177
La Ronge,CA,55.1,-105.28,265.15,78,100,2.6,1605397387
Talnakh,RU,69.49,88.4,253.15,83,100,8.0,1605397387
San Cristobal,VE,7.77,-72.22,299.15,88,75,1.5,1605397148
Dunedin,NZ,-45.87,170.5,292.59,64,99,3.24,1605397387
Olafsvik,IS,64.89,-23.71,274.34,88,86,7.37,1605397387
Ulaanbaatar,MN,47.91,106.88,260.15,84,0,0.97,1605397125
Rāyadrug,IN,14.7,76.87,292.98,93,3,2.54,1605397387
Kisangani,CD,0.52,25.2,294.04,97,100,0.25,1605397388
Ishigaki,JP,24.34,124.16,297.15,83,75,6.2,1605397388
Half Moon Bay,US,37.46,-122.43,289.26,76,1,5.7,1605397388
Port-Cartier,CA,50.03,-66.87,274.15,93,99,0.5,1605397388
Nsoko,SZ,-27.03,31.95,295.15,78,0,1.5,1605397388
Tabou,CI,4.42,-7.35,298.9,87,22,4.15,1605397388
Mount Isa,AU,-20.73,139.5,307.15,32,8,3.1,1605397389
Sosnovoborsk,RU,56.13,93.36,257.15,91,0,0.44,1605397389
Mossamedes,AO,-15.2,12.15,293.88,77,36,2.81,1605397389
Simi,SL,9.57,-12.35,294.98,53,0,1.16,1605397389
Nador,MA,35.17,-2.93,289.15,87,0,1.23,1605397389
Boddam,GB,57.47,-1.78,284.15,81,81,9.3,1605397389
Lata,PT,40.16,-8.33,290.93,89,95,1.79,1605397389
Matara,LK,5.95,80.54,298.02,88,28,2.23,1605397390
Caravelas,BR,-17.71,-39.25,298.49,83,94,4.61,1605397390
Chapais,CA,49.78,-74.85,268.15,67,90,2.6,1605397390
Kyren,RU,51.68,102.14,268.33,88,79,0.56,1605397390
Townsville,AU,-19.25,146.8,301.48,69,90,5.1,1605397205
Nanortalik,GL,60.14,-45.24,268.38,82,0,5.29,1605397390
Sovetskiy,RU,61.36,63.58,261.28,89,0,0.57,1605397391
San Quintín,MX,30.48,-115.95,291.35,74,0,5.93,1605397391
Padang,ID,-0.95,100.35,299.3,77,98,1.98,1605397391
Mayya,RU,61.73,130.28,263.15,85,75,3.0,1605397391
Canary Islands,ES,28.0,-15.5,295.93,73,0,2.25,1605397391
Baruun-Urt,MN,46.68,113.28,269.77,94,64,3.09,1605397391
Cortona,IT,43.27,11.99,285.37,87,68,0.98,1605397391
Madera,US,37.17,-119.83,290.93,55,0,2.23,1605397392
Grindavik,IS,63.84,-22.43,273.15,86,0,2.1,1605397392
Vao,NC,-22.67,167.48,296.98,83,8,3.14,1605397392
Castro,BR,-24.79,-50.01,292.09,84,53,1.2,1605397392
Novomykolayivka,UA,47.98,35.91,274.55,84,89,2.07,1605397392
Sept-Îles,CA,50.2,-66.38,273.71,97,90,0.96,1605397158
Naryan-Mar,RU,67.67,53.09,270.73,98,97,5.85,1605397393
Westport,US,41.14,-73.36,281.15,45,1,2.6,1605397329
Faanui,PF,-16.48,-151.75,299.85,74,100,3.2,1605397393
Mayumba,GA,-3.43,10.66,298.68,90,90,2.51,1605397393
Mandalgovi,MN,45.76,106.27,269.1,89,17,3.27,1605397393
Kromy,RU,52.69,35.77,272.7,89,83,0.7,1605397393
Japura,ID,-0.32,102.35,298.14,89,97,0.45,1605397393
Xining,CN,36.62,101.77,276.5,65,32,0.67,1605397214
Vardø,NO,70.37,31.11,277.77,82,98,13.01,1605397394
Deputatsky,RU,69.3,139.9,250.22,88,70,1.4,1605397394
Pangnirtung,CA,66.15,-65.71,260.35,88,82,1.08,1605397394
Esperance,AU,-33.87,121.9,287.15,82,9,9.3,1605397394
Morgan Hill,US,37.13,-121.65,288.71,67,1,7.7,1605397239
Pisco,PE,-13.7,-76.22,292.15,82,20,8.2,1605397394
Tautira,PF,-17.73,-149.15,301.15,74,40,6.2,1605397394
Inhambane,MZ,-23.86,35.38,293.88,79,0,4.03,1605397395
Bonavista,CA,48.65,-53.11,274.26,100,100,3.1,1605397395
Cândido Mendes,BR,-1.45,-45.72,298.83,85,82,1.96,1605397395
Belfast,GB,54.58,-5.93,283.15,81,83,9.3,1605397112
Akdepe,TM,42.06,59.38,273.15,79,0,3.1,1605397395
Shimoda,JP,34.67,138.95,287.59,82,20,0.5,1605397395
Eenhana,NA,-17.47,16.33,296.15,73,100,2.6,1605397395
Burayevo,RU,55.84,55.41,260.42,94,0,2.87,1605397396
Sistranda,NO,63.73,8.83,281.15,63,0,9.8,1605397396
Provideniya,RU,64.38,-173.3,266.28,87,60,2.19,1605397396
São João da Barra,BR,-21.64,-41.05,296.44,91,100,1.79,1605397396
Vilhena,BR,-12.74,-60.15,295.15,94,70,1.5,1605397321
Galle,LK,6.04,80.22,298.33,88,45,2.12,1605397328
Ilulissat,GL,69.22,-51.1,257.15,54,16,10.8,1605397396
Bokoro,TD,12.38,17.06,298.46,18,41,5.35,1605397397
Constitución,CL,-35.33,-72.42,285.27,74,0,7.04,1605397397
Luyang,CN,27.62,110.1,285.72,78,0,0.56,1605397397
Bilibino,RU,68.05,166.44,250.26,82,17,1.49,1605397397
Palmer,US,42.16,-72.33,278.15,52,20,3.6,1605397264
Dhārchula,IN,29.85,80.53,284.38,41,100,1.8,1605397397
Vaitape,PF,-16.52,-151.75,300.32,73,100,3.16,1605397397
Fengkou,CN,30.08,113.27,287.55,72,0,0.94,1605397398
Kirakira,SB,-10.45,161.92,303.75,68,3,5.04,1605397398
Balkanabat,TM,39.51,54.37,280.75,55,11,2.59,1605397398
Porto Santo,PT,33.07,-16.34,294.15,94,75,5.1,1605397398
Hasaki,JP,35.73,140.83,283.15,76,20,1.0,1605397398
Buchanan,LR,5.88,-10.05,298.77,86,1,1.68,1605397398
Kirkland Lake,CA,48.14,-80.04,273.15,92,8,3.59,1605397243
